ts,temperature,flow
2026-03-03T10:00:00Z,152.1,11.99
2026-03-03T10:01:00Z,152.13,12.15
2026-03-03T10:02:00Z,151.95,11.98
2026-03-03T10:03:00Z,152.32,12.08
2026-03-03T10:04:00Z,151.91,12.05
2026-03-03T10:05:00Z,151.91,11.95
2026-03-03T10:06:00Z,152.05,11.81
2026-03-03T10:07:00Z,151.66,11.94
2026-03-03T10:08:00Z,151.8,12.03
2026-03-03T10:09:00Z,151.82,11.86
2026-03-03T10:10:00Z,152.29,11.98
2026-03-03T10:11:00Z,152.01,11.86
2026-03-03T10:12:00Z,151.89,12.01
2026-03-03T10:13:00Z,151.77,12.04
2026-03-03T10:14:00Z,151.88,11.97
2026-03-03T10:15:00Z,151.88,12.19
2026-03-03T10:16:00Z,152.0,11.89
2026-03-03T10:17:00Z,152.16,11.88
2026-03-03T10:18:00Z,152.04,11.8
2026-03-03T10:19:00Z,151.73,12.02
2026-03-03T10:20:00Z,152.15,12.02
2026-03-03T10:21:00Z,151.98,11.97
2026-03-03T10:22:00Z,151.7,11.93
2026-03-03T10:23:00Z,151.91,12.11
2026-03-03T10:24:00Z,152.07,11.82
2026-03-03T10:25:00Z,152.06,11.96
2026-03-03T10:26:00Z,151.86,12.06
2026-03-03T10:27:00Z,152.21,12.09
2026-03-03T10:28:00Z,151.83,11.97
2026-03-03T10:29:00Z,152.07,12.1
2026-03-03T10:30:00Z,151.9,11.98
2026-03-03T10:31:00Z,151.78,11.88
2026-03-03T10:32:00Z,152.16,12.14
2026-03-03T10:33:00Z,151.99,12.1
2026-03-03T10:34:00Z,152.07,11.94
2026-03-03T10:35:00Z,152.07,12.15
2026-03-03T10:36:00Z,151.99,12.16
2026-03-03T10:37:00Z,151.48,12.08
2026-03-03T10:38:00Z,152.02,11.97
2026-03-03T10:39:00Z,152.02,11.8
2026-03-03T10:40:00Z,151.96,12.04
2026-03-03T10:41:00Z,152.3,11.95
2026-03-03T10:42:00Z,151.84,11.95
2026-03-03T10:43:00Z,152.18,12.03
2026-03-03T10:44:00Z,151.89,12.05
2026-03-03T10:45:00Z,152.02,12.1
2026-03-03T10:46:00Z,151.86,11.97
2026-03-03T10:47:00Z,151.92,11.85
2026-03-03T10:48:00Z,152.06,12.03
2026-03-03T10:49:00Z,152.0,11.98
2026-03-03T10:50:00Z,151.72,11.96
2026-03-03T10:51:00Z,151.93,11.92
2026-03-03T10:52:00Z,151.97,12.04
2026-03-03T10:53:00Z,152.38,12.02
2026-03-03T10:54:00Z,152.05,11.99
2026-03-03T10:55:00Z,151.62,12.0
2026-03-03T10:56:00Z,152.01,12.25
2026-03-03T10:57:00Z,151.96,12.03
2026-03-03T10:58:00Z,151.99,11.88
2026-03-03T10:59:00Z,152.23,12.08
